# COORDINATED 6-MONTH FORECAST VALUES
# Units: m above IGLD
#
     SUP,     MIH,     STC,     ERI,     ONT, Band,      Date
  183.15,  176.00,  174.77,  173.92,   74.55,  50%,  Feb 2026
  183.12,  176.02,  174.82,  174.02,   74.66,  50%,  Mar 2026
  183.16,  176.10,  174.92,  174.16,   74.88,  50%,  Apr 2026
  183.26,  176.19,  174.99,  174.24,   75.02,  50%,  May 2026
  183.34,  176.26,  175.04,  174.26,   75.05,  50%,  Jun 2026
  183.40,  176.30,  175.06,  174.24,   75.02,  50%,  Jul 2026
  183.16,  176.02,  174.89,  174.00,   74.64,   5%,  Feb 2026
  183.17,  176.09,  174.98,  174.18,   74.84,   5%,  Mar 2026
  183.24,  176.22,  175.10,  174.36,   75.12,   5%,  Apr 2026
  183.36,  176.36,  175.19,  174.45,   75.32,   5%,  May 2026
  183.48,  176.45,  175.25,  174.48,   75.46,   5%,  Jun 2026
  183.56,  176.50,  175.26,  174.46,   75.40,   5%,  Jul 2026
  183.13,  175.97,  174.62,  173.86,   74.49,  95%,  Feb 2026
  183.07,  175.94,  174.66,  173.86,   74.49,  95%,  Mar 2026
  183.07,  175.98,  174.70,  173.98,   74.66,  95%,  Apr 2026
  183.14,  176.04,  174.76,  174.01,   74.73,  95%,  May 2026
  183.20,  176.08,  174.81,  174.02,   74.74,  95%,  Jun 2026
  183.25,  176.08,  174.82,  174.00,   74.69,  95%,  Jul 2026
